,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot
731,Bachelors,2016,Bangalore,3,26,Male,Yes,4,0
732,Bachelors,2013,Bangalore,3,27,Male,No,5,0
735,Bachelors,2017,New Delhi,1,25,Female,No,3,0
736,Bachelors,2013,Bangalore,3,28,Male,No,3,0
738,Bachelors,2017,Bangalore,3,24,Male,No,2,0
740,PHD,2012,New Delhi,3,24,Male,No,2,0
741,Bachelors,2017,Bangalore,3,25,Female,No,3,0
742,Masters,2014,New Delhi,3,27,Male,No,5,0
743,Bachelors,2015,Bangalore,3,27,Female,No,5,0
745,Bachelors,2012,Bangalore,3,28,Male,No,3,0
746,Bachelors,2012,Bangalore,3,25,Female,No,3,0
747,Bachelors,2015,Bangalore,3,24,Female,No,2,0
748,Bachelors,2013,Pune,3,27,Male,No,5,0
749,Bachelors,2013,Bangalore,3,26,Female,No,4,0
750,Bachelors,2012,Pune,2,26,Male,No,4,0
753,Bachelors,2012,Bangalore,3,28,Female,No,2,0
755,Bachelors,2012,Bangalore,3,27,Female,No,5,0
756,Masters,2016,New Delhi,3,28,Male,No,1,0
760,Bachelors,2014,Bangalore,3,24,Male,No,2,0
761,Bachelors,2016,Bangalore,3,28,Male,No,3,0
762,Bachelors,2016,New Delhi,3,25,Female,Yes,3,0
764,Masters,2015,New Delhi,3,28,Female,No,3,0
766,Bachelors,2014,Bangalore,3,24,Male,No,2,0
768,Bachelors,2013,Bangalore,3,26,Male,No,4,0
770,Bachelors,2017,New Delhi,3,28,Male,No,2,0
773,Bachelors,2017,Bangalore,3,24,Female,No,2,0
775,Bachelors,2013,Bangalore,1,28,Female,No,2,0
777,Bachelors,2013,Bangalore,3,26,Male,No,4,0
778,Bachelors,2016,Bangalore,3,25,Male,No,3,0
780,Bachelors,2017,New Delhi,3,25,Male,No,3,0
781,Bachelors,2013,Bangalore,3,26,Male,No,4,0
782,Bachelors,2013,Pune,2,27,Male,Yes,5,0
784,Bachelors,2016,Bangalore,3,25,Male,Yes,3,0
786,Bachelors,2016,Pune,3,28,Male,No,1,0
788,Masters,2015,Pune,3,28,Female,No,3,0
789,Bachelors,2017,Bangalore,3,26,Male,No,4,0
791,Bachelors,2017,New Delhi,2,27,Female,No,5,0
793,Bachelors,2012,Bangalore,3,24,Male,No,2,0
794,Bachelors,2013,New Delhi,3,28,Female,Yes,3,0
795,Masters,2015,Pune,2,24,Female,No,2,0
796,Bachelors,2016,Bangalore,3,25,Male,No,3,0
798,Bachelors,2016,Bangalore,3,26,Male,No,4,0
799,Bachelors,2013,Bangalore,3,24,Male,No,2,0
801,Bachelors,2014,Bangalore,3,24,Male,No,2,0
803,Bachelors,2017,New Delhi,3,27,Female,No,5,0
804,Bachelors,2013,Pune,3,27,Male,No,5,0
806,Bachelors,2017,Bangalore,3,24,Female,Yes,2,0
807,PHD,2015,New Delhi,3,28,Female,No,1,0
808,Bachelors,2017,Bangalore,3,27,Male,No,5,0
809,Masters,2017,New Delhi,2,28,Female,No,2,0
810,Bachelors,2017,New Delhi,2,25,Female,No,3,0
812,Bachelors,2016,New Delhi,3,28,Female,Yes,3,0
817,Bachelors,2013,Bangalore,3,26,Female,No,4,0
819,Bachelors,2016,New Delhi,3,28,Male,No,1,0
821,Bachelors,2017,Bangalore,3,25,Male,No,3,0
822,Bachelors,2017,Bangalore,3,25,Male,No,3,0
825,Bachelors,2012,Bangalore,3,27,Female,No,5,0
826,Bachelors,2012,New Delhi,3,27,Female,No,5,0
829,Bachelors,2012,Pune,3,28,Female,No,2,0
831,PHD,2016,New Delhi,3,24,Female,No,2,0
834,Bachelors,2015,Bangalore,3,26,Female,No,4,0
836,Bachelors,2014,Bangalore,3,27,Male,No,5,0
837,Bachelors,2013,New Delhi,3,25,Female,No,3,0
839,Bachelors,2012,Pune,3,24,Male,No,2,0
840,Bachelors,2012,Bangalore,3,26,Female,No,4,0
842,Bachelors,2013,New Delhi,3,24,Male,No,2,0
843,Masters,2017,New Delhi,2,27,Female,No,5,0
844,Masters,2017,Pune,2,26,Male,No,4,0
845,Bachelors,2014,Pune,3,27,Male,No,5,0
847,Bachelors,2014,Bangalore,3,25,Female,No,3,0
849,Bachelors,2015,Pune,3,26,Male,No,4,0
854,Bachelors,2013,Pune,3,26,Female,Yes,4,0
855,Bachelors,2014,Pune,3,28,Male,No,2,0
856,Bachelors,2016,New Delhi,3,27,Female,No,5,0
857,Bachelors,2017,New Delhi,2,28,Male,No,1,0
858,Masters,2014,New Delhi,3,27,Male,No,5,0
859,Bachelors,2014,New Delhi,3,28,Female,No,1,0
863,Bachelors,2013,Pune,3,26,Male,No,4,0
864,Bachelors,2012,Bangalore,3,28,Female,No,2,0
865,Masters,2017,Pune,2,26,Male,No,4,0
867,Bachelors,2016,New Delhi,3,27,Female,No,5,0
868,Bachelors,2012,Bangalore,3,26,Male,No,4,0
869,Bachelors,2015,Pune,3,25,Male,No,3,0
870,Bachelors,2012,New Delhi,3,26,Female,Yes,4,0
872,Masters,2017,New Delhi,2,26,Male,No,4,0
875,Masters,2014,New Delhi,3,25,Male,No,3,0
876,Bachelors,2015,Bangalore,3,28,Male,Yes,2,0
878,Bachelors,2017,Bangalore,2,27,Male,No,5,0
879,Bachelors,2016,Bangalore,3,24,Male,No,2,0
880,Bachelors,2017,Bangalore,3,27,Male,No,5,0
882,Bachelors,2017,Bangalore,3,24,Female,No,2,0
883,Bachelors,2017,Bangalore,3,28,Male,No,1,0
886,Bachelors,2014,New Delhi,3,24,Female,No,2,0
887,Bachelors,2017,Bangalore,1,27,Male,No,5,0
888,Bachelors,2015,New Delhi,3,24,Female,No,2,0
889,Bachelors,2017,Bangalore,3,27,Male,No,5,0
890,Bachelors,2017,Pune,3,28,Male,No,3,0
891,Bachelors,2014,Bangalore,3,25,Male,No,3,0
892,Bachelors,2017,Bangalore,3,25,Female,No,3,0
894,Bachelors,2013,Bangalore,3,28,Female,No,3,0
895,Bachelors,2017,New Delhi,3,27,Male,No,5,0
896,Bachelors,2013,Bangalore,3,27,Male,No,5,0
898,Bachelors,2014,Bangalore,3,24,Male,No,2,0
899,Bachelors,2017,Pune,3,27,Male,No,5,0
900,Bachelors,2012,Pune,3,27,Male,No,5,0
901,Bachelors,2017,Pune,3,24,Male,No,2,0
902,Bachelors,2014,Bangalore,3,25,Male,No,3,0
903,Bachelors,2014,Bangalore,3,28,Male,No,3,0
907,Bachelors,2017,Bangalore,3,28,Male,Yes,1,0
908,Bachelors,2016,Bangalore,3,25,Male,No,3,0
909,Bachelors,2013,Pune,3,24,Female,No,2,0
911,Bachelors,2014,Bangalore,3,24,Female,No,2,0
912,Bachelors,2012,Bangalore,3,26,Male,No,4,0
913,Masters,2013,New Delhi,1,24,Female,No,2,0
915,Bachelors,2014,Bangalore,3,26,Male,No,4,0
916,Bachelors,2017,Bangalore,3,27,Male,No,5,0
917,Bachelors,2017,New Delhi,2,25,Male,No,3,0
918,Bachelors,2015,Bangalore,3,28,Female,No,1,0
919,Bachelors,2014,Bangalore,3,24,Male,No,2,0
921,Bachelors,2015,Pune,3,28,Male,No,1,0
922,Bachelors,2015,Bangalore,3,26,Male,No,4,0
923,PHD,2015,Pune,2,28,Female,No,1,0
925,Bachelors,2016,Bangalore,3,26,Male,No,4,0
927,Bachelors,2017,Pune,3,24,Male,No,2,0
928,Bachelors,2014,Bangalore,3,27,Male,No,5,0
929,Masters,2012,New Delhi,3,28,Male,No,2,0
930,Bachelors,2012,Bangalore,3,28,Male,No,3,0
936,Masters,2017,New Delhi,2,28,Male,No,2,0
937,Bachelors,2013,Bangalore,3,27,Male,No,5,0
939,Bachelors,2017,Pune,3,27,Male,No,5,0
940,Bachelors,2017,Pune,3,28,Female,No,1,0
941,Bachelors,2016,Bangalore,3,28,Male,No,3,0
942,Bachelors,2014,New Delhi,3,26,Female,No,4,0
944,Bachelors,2017,New Delhi,3,26,Female,No,4,0
946,Bachelors,2017,New Delhi,3,26,Male,No,4,0
947,Bachelors,2012,Bangalore,3,25,Female,Yes,3,0
948,Bachelors,2017,Bangalore,3,25,Male,Yes,3,0
951,Bachelors,2014,Bangalore,3,25,Male,No,3,0
954,Masters,2017,Pune,2,28,Male,No,3,0
955,Masters,2017,New Delhi,3,26,Male,No,4,0
956,Masters,2017,Pune,2,24,Female,No,2,0
957,Masters,2015,Pune,1,26,Female,No,4,0
958,Masters,2013,Pune,3,26,Male,No,4,0
959,Bachelors,2015,Bangalore,3,26,Male,No,4,0
960,Bachelors,2017,Pune,3,24,Male,No,2,0
961,PHD,2016,Bangalore,3,27,Male,No,5,0
963,Bachelors,2014,Pune,3,25,Male,No,3,0
964,Bachelors,2012,Bangalore,3,26,Male,No,4,0
965,Bachelors,2017,Bangalore,3,28,Male,No,3,0
966,Bachelors,2014,Pune,3,25,Male,No,3,0
969,PHD,2013,New Delhi,3,26,Male,No,4,0
970,Bachelors,2015,New Delhi,3,28,Female,No,3,0
971,Bachelors,2017,Bangalore,3,24,Male,No,2,0
977,Masters,2015,Pune,1,27,Female,No,5,0
979,Bachelors,2016,Bangalore,1,27,Female,No,5,0
980,Bachelors,2014,New Delhi,3,24,Male,No,2,0
981,Bachelors,2016,Bangalore,3,26,Male,Yes,4,0
983,Bachelors,2013,Bangalore,3,24,Male,No,2,0
984,Bachelors,2015,Bangalore,3,25,Female,No,3,0
985,Bachelors,2015,Bangalore,3,26,Male,No,4,0
986,Bachelors,2016,Bangalore,3,26,Male,No,4,0
987,Bachelors,2013,Pune,3,26,Male,No,4,0
990,Bachelors,2017,Bangalore,3,24,Female,No,2,0
991,Bachelors,2014,New Delhi,3,24,Female,No,2,0
992,Bachelors,2013,Pune,3,26,Male,Yes,4,0
993,Bachelors,2014,Bangalore,3,26,Male,No,4,0
994,Bachelors,2014,Bangalore,3,24,Male,No,2,0
995,Bachelors,2012,Bangalore,3,26,Male,No,4,0
997,Bachelors,2016,New Delhi,3,28,Female,No,5,0
998,Bachelors,2015,Bangalore,3,28,Male,No,5,0
1000,Bachelors,2013,New Delhi,3,26,Female,No,4,0
1001,Bachelors,2013,Pune,3,24,Male,No,2,0
1002,Masters,2017,New Delhi,3,28,Female,No,3,0
1003,Bachelors,2012,New Delhi,3,27,Female,No,5,0
1004,Bachelors,2017,Bangalore,3,25,Male,No,3,0
1006,Masters,2015,Pune,1,24,Male,No,2,0
1010,Bachelors,2015,Bangalore,3,28,Female,No,1,0
1011,Masters,2013,New Delhi,3,27,Male,No,5,0
1012,Bachelors,2014,Bangalore,3,26,Male,No,4,0
1013,Bachelors,2017,Bangalore,3,25,Male,No,3,0
1015,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1016,Bachelors,2014,Bangalore,3,25,Female,No,3,0
1017,Bachelors,2017,Bangalore,1,24,Male,No,2,0
1019,Bachelors,2013,Bangalore,3,27,Female,No,5,0
1020,Bachelors,2012,Bangalore,3,28,Female,No,2,0
1021,Bachelors,2015,Bangalore,3,27,Male,No,5,0
1022,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1024,Bachelors,2014,New Delhi,3,27,Female,Yes,5,0
1025,Bachelors,2014,Bangalore,3,28,Male,No,4,0
1027,Bachelors,2014,Bangalore,3,28,Female,No,1,0
1029,Bachelors,2017,Bangalore,3,27,Male,No,5,0
1032,Bachelors,2017,New Delhi,2,27,Female,No,5,0
1035,Masters,2017,New Delhi,3,24,Male,No,2,0
1036,Bachelors,2015,Bangalore,3,28,Male,No,4,0
1038,Bachelors,2013,Pune,3,26,Male,No,4,0
1039,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1040,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1042,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1044,Bachelors,2013,Bangalore,3,28,Male,No,1,0
1046,Bachelors,2012,Bangalore,3,28,Male,No,1,0
1047,Bachelors,2017,New Delhi,3,25,Female,No,3,0
1050,Masters,2017,New Delhi,3,24,Male,No,2,0
1051,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1052,Bachelors,2014,Pune,3,26,Male,No,4,0
1054,Bachelors,2017,Bangalore,3,28,Male,No,2,0
1056,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1058,Bachelors,2016,Bangalore,3,28,Male,Yes,4,0
1059,Bachelors,2014,Bangalore,3,26,Female,No,4,0
1060,Bachelors,2017,Bangalore,3,28,Male,No,1,0
1061,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1062,Bachelors,2016,New Delhi,3,26,Male,No,4,0
1063,Bachelors,2014,Bangalore,3,27,Female,No,5,0
1065,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1066,PHD,2015,New Delhi,2,24,Female,No,2,0
1068,Bachelors,2017,New Delhi,2,24,Female,No,2,0
1070,Bachelors,2017,New Delhi,3,24,Male,No,2,0
1071,Bachelors,2013,Bangalore,3,25,Female,No,3,0
1072,Bachelors,2014,Bangalore,3,24,Male,Yes,2,0
1075,Bachelors,2012,Bangalore,3,25,Male,No,3,0
1076,Masters,2012,New Delhi,3,28,Male,Yes,2,0
1077,Bachelors,2015,Bangalore,3,24,Female,No,2,0
1078,Bachelors,2012,Bangalore,3,24,Male,No,2,0
1080,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1081,Bachelors,2012,Bangalore,3,25,Male,No,3,0
1082,Bachelors,2012,Bangalore,3,28,Male,No,5,0
1083,Bachelors,2017,New Delhi,2,26,Female,No,4,0
1084,Bachelors,2013,Bangalore,3,25,Male,No,3,0
1086,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1087,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1088,Bachelors,2016,New Delhi,3,28,Female,No,2,0
1091,Masters,2014,New Delhi,3,28,Female,No,4,0
1092,Masters,2017,New Delhi,3,25,Female,No,3,0
1093,Masters,2017,Bangalore,3,26,Female,No,4,0
1095,Bachelors,2013,New Delhi,3,27,Female,No,5,0
1096,Masters,2017,New Delhi,1,26,Female,No,4,0
1097,Bachelors,2013,New Delhi,3,27,Female,No,5,0
1098,Bachelors,2012,New Delhi,3,28,Male,No,3,0
1100,Bachelors,2017,New Delhi,3,26,Female,No,4,0
1103,Bachelors,2017,Pune,2,24,Male,No,2,0
1106,Bachelors,2016,Bangalore,3,28,Male,Yes,4,0
1107,Masters,2017,New Delhi,3,28,Male,No,2,0
1108,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1109,Bachelors,2016,Bangalore,3,26,Male,Yes,4,0
1111,Bachelors,2013,Pune,3,26,Male,No,4,0
1112,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1114,Bachelors,2017,Bangalore,1,26,Female,No,4,0
1115,Bachelors,2015,Bangalore,3,28,Female,No,3,0
1117,Bachelors,2012,Bangalore,3,27,Male,Yes,5,0
1118,Bachelors,2013,Bangalore,3,26,Female,No,4,0
1120,Bachelors,2016,New Delhi,3,24,Female,No,2,0
1123,Bachelors,2014,Pune,3,24,Male,No,2,0
1124,Bachelors,2017,New Delhi,3,27,Female,No,5,0
1125,Bachelors,2012,New Delhi,3,26,Male,No,4,0
1126,Bachelors,2013,Bangalore,3,28,Male,No,0,0
1127,Bachelors,2012,Pune,3,28,Male,No,5,0
1129,Bachelors,2016,Bangalore,1,26,Male,No,4,0
1132,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1133,Bachelors,2013,Bangalore,3,28,Male,No,0,0
1137,Bachelors,2012,Pune,3,28,Male,No,4,0
1139,Bachelors,2014,Bangalore,3,28,Female,No,3,0
1140,Masters,2017,New Delhi,2,28,Female,No,2,0
1141,Bachelors,2012,New Delhi,1,27,Female,No,5,0
1142,Bachelors,2017,New Delhi,2,27,Male,No,5,0
1143,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1144,Bachelors,2013,Pune,3,27,Male,No,5,0
1145,Bachelors,2015,Bangalore,3,27,Female,No,5,0
1146,Bachelors,2017,Bangalore,3,27,Male,No,5,0
1147,Masters,2012,New Delhi,3,24,Male,No,2,0
1149,Bachelors,2017,Bangalore,3,25,Male,No,3,0
1152,Bachelors,2013,Pune,3,24,Female,No,2,0
1154,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1156,Bachelors,2015,Pune,3,25,Male,No,3,0
1157,Bachelors,2017,New Delhi,2,26,Female,No,4,0
1158,Bachelors,2013,Bangalore,3,28,Male,No,3,0
1160,Bachelors,2012,New Delhi,3,24,Male,No,2,0
1161,Bachelors,2015,New Delhi,3,28,Male,No,1,0
1162,Bachelors,2017,Bangalore,1,24,Male,No,2,0
1163,Masters,2017,Pune,2,28,Female,No,4,0
1164,Bachelors,2017,Pune,3,24,Male,No,2,0
1165,Bachelors,2016,Bangalore,3,27,Female,No,5,0
1166,Bachelors,2015,Pune,3,28,Male,No,2,0
1167,Bachelors,2016,Bangalore,3,28,Female,No,5,0
1169,Bachelors,2015,Bangalore,3,28,Female,No,5,0
1171,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1172,Bachelors,2015,Bangalore,1,24,Male,No,2,0
1173,Bachelors,2012,Bangalore,3,27,Female,No,5,0
1177,Bachelors,2014,Bangalore,3,28,Male,No,2,0
1184,Masters,2015,New Delhi,3,28,Male,No,2,0
1185,Bachelors,2013,Bangalore,3,27,Male,No,5,0
1187,Bachelors,2012,Pune,3,28,Male,No,2,0
1191,Bachelors,2017,New Delhi,2,25,Male,No,3,0
1193,Bachelors,2012,New Delhi,3,26,Female,No,4,0
1194,Bachelors,2014,Pune,3,26,Male,No,4,0
1195,Bachelors,2014,Bangalore,3,28,Male,No,4,0
1197,Bachelors,2013,Pune,2,26,Male,No,4,0
1200,Bachelors,2013,Bangalore,3,25,Female,No,3,0
1201,Bachelors,2014,Bangalore,3,28,Male,No,4,0
1202,Masters,2017,New Delhi,3,24,Female,No,2,0
1203,Masters,2017,Pune,2,27,Female,No,5,0
1204,Bachelors,2012,Bangalore,3,24,Male,No,2,0
1206,Masters,2017,New Delhi,2,28,Male,No,4,0
1207,Bachelors,2017,New Delhi,2,25,Male,No,3,0
1214,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1216,Masters,2017,Bangalore,2,28,Male,No,2,0
1218,Bachelors,2017,Pune,3,24,Male,No,2,0
1220,Masters,2017,New Delhi,2,28,Male,No,3,0
1221,Bachelors,2015,Bangalore,3,26,Female,Yes,4,0
1223,Bachelors,2013,Bangalore,3,25,Male,Yes,3,0
1224,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1226,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1227,Bachelors,2017,Bangalore,3,27,Male,No,5,0
1228,Bachelors,2012,Bangalore,3,27,Female,No,5,0
1229,PHD,2016,New Delhi,3,27,Male,No,5,0
1230,Bachelors,2017,New Delhi,2,25,Male,No,3,0
1231,Bachelors,2015,New Delhi,3,28,Female,No,2,0
1233,Bachelors,2017,Bangalore,3,27,Female,No,5,0
1235,Bachelors,2017,Bangalore,3,27,Female,No,5,0
1238,Bachelors,2015,Bangalore,3,27,Male,No,5,0
1239,Bachelors,2014,Pune,3,24,Male,No,2,0
1240,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1241,Bachelors,2013,Pune,3,27,Male,No,5,0
1242,Bachelors,2015,Bangalore,1,25,Male,No,3,0
1243,Masters,2017,New Delhi,2,25,Female,No,3,0
1244,PHD,2015,Pune,3,28,Male,No,0,0
1245,Bachelors,2015,Bangalore,3,28,Male,No,3,0
1246,Bachelors,2016,Bangalore,3,28,Male,No,5,0
1247,PHD,2013,New Delhi,3,24,Male,No,2,0
1248,Bachelors,2014,Bangalore,3,26,Male,Yes,4,0
1250,Bachelors,2017,Bangalore,3,27,Male,Yes,5,0
1251,Bachelors,2014,New Delhi,3,26,Male,No,4,0
1253,Bachelors,2016,Pune,3,24,Male,Yes,2,0
1254,Bachelors,2016,Bangalore,3,26,Male,No,4,0
1259,Bachelors,2014,Pune,3,26,Male,No,4,0
1261,Bachelors,2017,Bangalore,3,25,Male,No,3,0
1262,Masters,2017,New Delhi,2,26,Female,No,4,0
1263,Bachelors,2016,Bangalore,1,25,Female,No,3,0
1264,PHD,2014,Bangalore,1,25,Female,No,3,0
1265,Bachelors,2013,Bangalore,3,25,Female,No,3,0
1266,Bachelors,2014,New Delhi,3,24,Male,No,2,0
1268,Bachelors,2014,New Delhi,3,28,Male,No,5,0
1269,Bachelors,2015,Bangalore,3,26,Male,No,4,0
1270,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1272,Masters,2015,Pune,2,28,Female,No,2,0
1274,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1275,Masters,2015,New Delhi,2,26,Female,No,4,0
1276,Bachelors,2016,New Delhi,3,27,Male,No,5,0
1277,Bachelors,2014,Bangalore,3,24,Female,No,2,0
1278,Masters,2017,Pune,3,24,Female,No,2,0
1281,Bachelors,2017,New Delhi,2,28,Male,No,0,0
1282,Bachelors,2017,New Delhi,3,25,Female,No,3,0
1286,Masters,2014,New Delhi,3,27,Male,No,5,0
1288,Bachelors,2014,New Delhi,3,25,Male,No,3,0
1289,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1291,Bachelors,2012,Bangalore,3,28,Male,No,1,0
1292,Bachelors,2014,Bangalore,1,26,Male,No,4,0
1293,Bachelors,2017,Bangalore,3,28,Male,Yes,3,0
1296,Bachelors,2017,Pune,2,26,Male,No,4,0
1297,Bachelors,2015,Bangalore,3,28,Male,No,0,0
1298,Bachelors,2016,Bangalore,3,28,Male,No,2,0
1300,Bachelors,2017,Bangalore,3,27,Male,No,5,0
1301,Masters,2015,New Delhi,3,25,Male,No,3,0
1302,Bachelors,2012,New Delhi,3,28,Female,No,4,0
1303,Bachelors,2012,Bangalore,3,26,Male,No,4,0
1304,Bachelors,2012,Bangalore,3,25,Male,No,3,0
1306,Bachelors,2017,Bangalore,3,25,Male,No,3,0
1307,Bachelors,2012,Bangalore,3,26,Female,No,4,0
1308,Bachelors,2017,Bangalore,3,26,Female,No,4,0
1310,Bachelors,2015,Bangalore,3,25,Male,No,3,0
1311,Bachelors,2013,Bangalore,3,26,Female,No,4,0
1313,Bachelors,2014,New Delhi,3,28,Female,Yes,2,0
1314,Bachelors,2016,Bangalore,3,27,Female,No,5,0
1316,Bachelors,2012,Bangalore,3,27,Female,Yes,5,0
1317,Bachelors,2017,New Delhi,3,27,Female,No,5,0
1319,Bachelors,2016,Bangalore,3,28,Female,No,4,0
1320,Bachelors,2017,New Delhi,2,27,Male,No,5,0
1321,Bachelors,2016,Bangalore,3,24,Female,No,2,0
1322,Bachelors,2013,Bangalore,3,25,Male,No,3,0
1323,Bachelors,2017,New Delhi,2,25,Female,No,3,0
1324,Bachelors,2015,Pune,3,24,Male,No,2,0
1325,Bachelors,2012,New Delhi,3,25,Female,No,3,0
1326,PHD,2017,New Delhi,3,27,Female,No,5,0
1328,Masters,2017,Bangalore,3,28,Male,No,2,0
1329,Bachelors,2016,Pune,3,25,Male,No,3,0
1330,Bachelors,2014,Bangalore,3,25,Male,Yes,3,0
1331,Bachelors,2012,New Delhi,3,27,Male,No,5,0
1333,Masters,2015,New Delhi,3,27,Female,No,5,0
1334,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1337,Bachelors,2015,Bangalore,3,25,Male,No,3,0
1341,Bachelors,2013,Bangalore,3,27,Male,No,5,0
1342,Bachelors,2017,New Delhi,2,27,Male,No,5,0
1343,PHD,2012,New Delhi,3,28,Female,No,1,0
1345,Bachelors,2014,Bangalore,3,27,Male,No,5,0
1347,Bachelors,2014,Pune,3,26,Male,No,4,0
1350,Bachelors,2012,Bangalore,3,26,Female,No,4,0
1351,Masters,2014,Pune,3,27,Male,No,5,0
1353,Masters,2017,New Delhi,1,25,Female,No,3,0
1358,Masters,2017,New Delhi,3,28,Male,No,5,0
1359,Bachelors,2013,Bangalore,3,24,Male,No,2,0
1363,Bachelors,2014,Pune,3,26,Male,No,4,0
1364,Bachelors,2013,New Delhi,3,25,Female,No,3,0
1365,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1367,Bachelors,2013,Bangalore,3,25,Female,No,3,0
1368,PHD,2012,Pune,3,27,Male,No,5,0
1369,Bachelors,2013,Bangalore,3,24,Male,No,2,0
1370,Bachelors,2013,Bangalore,3,28,Female,No,3,0
1371,Bachelors,2015,Pune,3,24,Male,No,2,0
1372,Bachelors,2013,Pune,3,27,Male,No,5,0
1373,Bachelors,2012,New Delhi,3,27,Male,No,5,0
1375,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1377,Bachelors,2016,Bangalore,3,24,Male,No,2,0
1379,Bachelors,2015,Bangalore,3,26,Male,No,4,0
1382,Bachelors,2013,Pune,3,27,Male,No,5,0
1383,PHD,2016,New Delhi,3,24,Female,No,2,0
1384,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1385,Bachelors,2015,Bangalore,3,28,Male,No,5,0
1386,Bachelors,2015,Bangalore,3,26,Female,No,4,0
1387,Bachelors,2016,Bangalore,3,27,Female,No,5,0
1390,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1393,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1395,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1396,Bachelors,2013,Bangalore,3,27,Male,No,5,0
1397,PHD,2013,Bangalore,3,26,Male,No,4,0
1399,Bachelors,2017,Bangalore,1,28,Female,No,3,0
1400,Bachelors,2014,Bangalore,3,26,Male,No,4,0
1401,Bachelors,2015,New Delhi,3,27,Male,No,5,0
1404,Masters,2017,New Delhi,2,26,Male,No,4,0
1405,Masters,2016,New Delhi,3,25,Male,No,3,0
1406,Bachelors,2017,Bangalore,3,28,Female,Yes,5,0
1407,Masters,2017,New Delhi,2,28,Female,No,2,0
1410,Bachelors,2016,Bangalore,3,24,Female,No,2,0
1411,Bachelors,2017,Pune,3,26,Male,No,4,0
1412,Bachelors,2017,New Delhi,3,25,Female,No,3,0
1418,Bachelors,2013,Bangalore,3,25,Male,No,3,0
1420,Bachelors,2014,Bangalore,3,27,Female,No,5,0
1421,Bachelors,2017,Bangalore,1,25,Male,No,3,0
1422,Bachelors,2015,New Delhi,3,26,Male,No,4,0
1424,Bachelors,2015,Bangalore,3,28,Male,No,2,0
1427,Bachelors,2014,Bangalore,3,26,Male,No,4,0
1430,Bachelors,2016,New Delhi,3,28,Female,No,3,0
1431,Bachelors,2017,Bangalore,3,25,Male,No,3,0
1434,Bachelors,2015,Bangalore,3,27,Female,No,5,0
1436,Bachelors,2017,New Delhi,2,28,Female,No,0,0
1437,Bachelors,2015,Bangalore,3,25,Male,No,3,0
1438,Bachelors,2012,Bangalore,3,28,Male,No,2,0
1439,Bachelors,2013,Bangalore,3,26,Male,No,4,0
1440,Bachelors,2016,Bangalore,1,24,Male,No,2,0
1441,Bachelors,2016,Pune,3,27,Male,No,5,0
1442,Bachelors,2013,Pune,3,24,Male,No,2,0
1444,Bachelors,2017,New Delhi,3,26,Male,No,4,0
1447,Bachelors,2015,Pune,3,24,Male,Yes,2,0
1451,Bachelors,2014,Bangalore,3,24,Male,No,2,0
1452,Bachelors,2016,Bangalore,3,28,Female,No,5,0
1453,Bachelors,2014,Bangalore,3,25,Male,No,3,0
1454,Bachelors,2014,Bangalore,3,26,Female,No,4,0
1455,Masters,2017,Bangalore,2,28,Male,No,2,0
1456,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1457,Bachelors,2016,Bangalore,3,27,Female,No,5,0
1459,Bachelors,2017,Bangalore,3,24,Male,No,2,0
1460,Bachelors,2012,Pune,3,24,Male,No,2,0
1461,Bachelors,2016,New Delhi,3,28,Male,No,0,0
1462,Bachelors,2012,Bangalore,3,27,Male,No,5,0
1463,Bachelors,2014,Bangalore,3,27,Male,No,5,0
